Survey_ID,Transect,Deeltraject,Type,Lengte,Tijd,Soort,Aantal,
11,1,1,L,50,14:36,,,
11,1,2,LW,50,14:37,,,
11,1,3,L,50,14:38,,,
11,1,4,LW,50,14:40,,,
11,1,5,L,50,14:41,,,
11,1,6,LW,50,14:42,Lantaarntje,1,
11,1,7,L,50,14:44,,,
11,1,8,L,50,14:45,,,
11,1,9,LW,50,14:48,,,
11,1,10,LW,50,14:51,Gewone oeverlibel,1,
11,2,1,LW,50,15:35,Lantaarntje,20,
11,2,2,LW,50,15:44,Lantaarntje,34,
11,2,2,LW,50,15:44,Variabele waterjuffer,1,
11,2,3,L,50,15:52,,,
11,2,4,L,50,15:57,,,
11,2,5,LW,50,16:05,Lantaarntje,406,
11,2,5,LW,50,16:05,Variabele waterjuffer,17,
11,2,5,LW,50,16:05,Grote keizerlibel,1,
11,2,6,L,50,16:25,,,
11,2,7,L,50,16:33,Zuidelijke keizerlibel,1,
11,2,8,LW,50,16:37,Lantaarntje,46,
11,2,8,LW,50,16:37,Variabele waterjuffer,1,
11,2,9,LW,50,16:55,Lantaarntje,131,
11,2,9,LW,50,16:55,Variabele waterjuffer,3,
11,2,10,L,50,16:52,Gewone oeverlibel,1,
12,1,1,LW,50,14:13,Bruine winterjuffer,3,
12,1,1,LW,50,14:13,Lantaarntje,12,
12,1,1,LW,50,14:13,Grote roodoogjuffer,6,
12,1,1,LW,50,14:13,Gewone oeverlibel,5,
12,1,1,LW,50,14:13,Bruine korenbout,3,
12,1,1,LW,50,14:13,Azuurwaterjuffer,6,
12,1,1,LW,50,14:13,Glassnijder,3,
12,1,2,L,50,14:31,Viervlek,1,
12,1,2,L,50,14:31,Glassnijder,2,
12,1,3,LW,50,14:40,Smaragdlibel,4,
12,1,3,LW,50,14:40,Lantaarntje,6,
12,1,3,LW,50,14:40,Bruine korenbout,1,
12,1,3,LW,50,14:40,Bruine winterjuffer,6,
12,1,3,LW,50,14:40,Gewone oeverlibel,1,
12,1,3,LW,50,14:40,Grote roodoogjuffer,1,
12,1,3,LW,50,14:40,Azuurwaterjuffer,5,
12,1,4,L,50,14:55,Smaragdlibel,2,
12,1,4,L,50,14:55,Gewone oeverlibel,4,
12,1,4,L,50,14:55,Bruine korenbout,5,
12,1,4,L,50,14:55,Glassnijder,1,
12,1,5,LW,50,15:25,Vuurjuffer,1,
12,1,5,LW,50,15:25,Viervlek,2,
12,1,5,LW,50,15:25,Smaragdlibel,3,
12,1,5,LW,50,15:25,Grote roodoogjuffer,2,
12,1,5,LW,50,15:25,Bruine winterjuffer,4,
12,1,5,LW,50,15:25,Platbuik,1,
12,1,5,LW,50,15:25,Azuurwaterjuffer,1,
12,1,5,LW,50,15:25,Gewone oeverlibel,1,
12,1,5,LW,50,15:25,Glassnijder,1,
12,1,6,L,50,15:39,Gewone oeverlibel,2,
12,1,6,L,50,15:39,Platbuik,1,
12,1,6,L,50,15:39,Smaragdlibel,3,
12,1,6,L,50,15:39,Glassnijder,1,
12,1,7,LW,50,15:42,Lantaarntje,1,
12,1,7,LW,50,15:42,Glassnijder,4,
12,1,7,LW,50,15:42,Smaragdlibel,2,
12,1,7,LW,50,15:42,Azuurwaterjuffer,1,
12,1,7,LW,50,15:42,Variabele waterjuffer,1,
12,1,7,LW,50,15:42,Viervlek,1,
12,1,7,LW,50,15:42,Bruine winterjuffer,2,
12,1,8,L,50,15:47,Glassnijder,2,
12,1,8,L,50,15:47,Smaragdlibel,1,
12,1,9,LW,50,15:53,Gewone oeverlibel,2,
12,1,9,LW,50,15:53,Smaragdlibel,7,
12,1,9,LW,50,15:53,Lantaarntje,7,
12,1,9,LW,50,15:53,Glassnijder,4,
12,1,9,LW,50,15:53,Bruine winterjuffer,8,
12,1,9,LW,50,15:53,Azuurwaterjuffer,3,
12,1,9,LW,50,15:53,Breedscheenjuffer,1,
12,1,10,L,50,16:00,Smaragdlibel,4,
12,1,10,L,50,16:00,Glassnijder,2,
12,1,10,L,50,16:00,Viervlek,2,
12,1,10,L,50,16:00,Grote keizerlibel,1,
12,2,1,LW,50,16:57,Lantaarntje,3,
12,2,1,LW,50,16:57,Gewone oeverlibel,1,
12,2,1,LW,50,16:57,Glassnijder,2,
12,2,1,LW,50,16:57,Bruine korenbout,1,
12,2,1,LW,50,16:57,Watersnuffel,1,
12,2,2,L,50,17:05,Glassnijder,1,
12,2,3,LW,50,17:12,Glassnijder,2,
12,2,3,LW,50,17:12,Lantaarntje,3,
12,2,4,L,50,17:16,Glassnijder,3,
12,2,5,LW,50,17:19,Lantaarntje,6,
12,2,5,LW,50,17:19,Glassnijder,2,
12,2,5,LW,50,17:19,Viervlek,1,
12,2,6,L,50,17:29,Glassnijder,3,
12,2,6,L,50,17:29,Smaragdlibel,1,
12,2,7,LW,50,17:35,Variabele waterjuffer,4,
12,2,7,LW,50,17:35,Lantaarntje,6,
12,2,7,LW,50,17:35,Glassnijder,3,
12,2,7,LW,50,17:35,Bruine korenbout,1,
12,2,7,LW,50,17:35,Azuurwaterjuffer,2,
12,2,7,LW,50,17:35,Weidebeekjuffer,1,
12,2,8,L,50,17:41,Glassnijder,2,
12,2,8,L,50,17:41,Bruine korenbout,1,
12,2,9,LW,50,17:46,Glassnijder,4,
12,2,9,LW,50,17:46,Lantaarntje,2,
12,2,9,LW,50,17:46,Grote roodoogjuffer,2,
12,2,10,L,50,17:50,Bruine korenbout,3,
12,2,10,L,50,17:50,Glassnijder,7,
13,1,1,LW,50,11:30,Lantaarntje,3,
13,1,1,LW,50,11:30,Azuurwaterjuffer,1,
13,1,1,LW,50,11:30,Variabele waterjuffer,1,
13,1,1,LW,50,11:30,Gewone oeverlibel,2,
13,1,1,LW,50,11:30,Bruine korenbout,2,
13,1,1,LW,50,11:30,Viervlek,1,
13,1,1,LW,50,11:30,Bloedrode heidelibel,4,
13,1,2,L,50,11:44,Gewone oeverlibel,10,
