Survey_ID,Transect,Stop,Tijd,Vogel,Aantal,,,,,,,,,,,,,,,,,,,,
1,1,1,10:38,Tafeleend,4,,,,,,,,,,,,,,,,,,,,
1,1,2,10:43,Tafeleend,9,,,,,,,,,,,,,,,,,,,,
1,1,2,10:43,Kuifeend,4,,,,,,,,,,,,,,,,,,,,
1,1,2,10:43,Rietgors,1,,,,,,,,,,,,,,,,,,,,
1,1,2,10:43,Roerdomp,1,,,,,,,,,,,,,,,,,,,,
1,1,3,10:49,,,,,,,,,,,,,,,,,,,,,,
1,1,4,10:58,Witgatje,1,,,,,,,,,,,,,,,,,,,,
1,1,5,11:07,,,,,,,,,,,,,,,,,,,,,,
1,1,6,11:13,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
1,2,1,11:19,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
1,2,2,11:22,Roerdomp,1,,,,,,,,,,,,,,,,,,,,
1,2,2,11:22,Rietgors,1,,,,,,,,,,,,,,,,,,,,
1,2,3,11:28,Rietgors,3,,,,,,,,,,,,,,,,,,,,
1,2,3,11:28,Watersnip,3,,,,,,,,,,,,,,,,,,,,
1,2,3,11:28,Slobeend,24,,,,,,,,,,,,,,,,,,,,
1,2,3,11:28,Kuifeend,2,,,,,,,,,,,,,,,,,,,,
1,2,3,11:28,Tafeleend,1,,,,,,,,,,,,,,,,,,,,
1,2,4,11:37,Rietzanger,2,,,,,,,,,,,,,,,,,,,,
1,2,4,11:37,Blauwborst,1,,,,,,,,,,,,,,,,,,,,
1,2,4,11:37,Kuifeend,12,,,,,,,,,,,,,,,,,,,,
1,2,4,11:37,Tafeleend,6,,,,,,,,,,,,,,,,,,,,
1,2,5,11:43,Kuifeend,14,,,,,,,,,,,,,,,,,,,,
1,2,5,11:43,Tafeleend,15,,,,,,,,,,,,,,,,,,,,
1,2,5,11:43,Blauwborst,1,,,,,,,,,,,,,,,,,,,,
1,2,5,11:43,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
1,2,5,11:43,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
1,2,6,11:49,Kuifeend,4,,,,,,,,,,,,,,,,,,,,
1,2,6,11:49,Slobeend,22,,,,,,,,,,,,,,,,,,,,
1,2,6,11:49,Wintertaling,1,,,,,,,,,,,,,,,,,,,,
1,2,6,11:49,Rietgors,1,,,,,,,,,,,,,,,,,,,,
1,2,6,11:49,Blauwborst,1,,,,,,,,,,,,,,,,,,,,
1,2,7,12:01,,,,,,,,,,,,,,,,,,,,,,
1,2,8,12:07,,,,,,,,,,,,,,,,,,,,,,
1,2,9,12:15,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
2,1,1,5:04,Roerdomp,1,,,,,,,,,,,,,,,,,,,,
2,1,2,5:08,,,,,,,,,,,,,,,,,,,,,,
2,1,3,5:12,,,,,,,,,,,,,,,,,,,,,,
2,1,4,5:18,Rietgors,1,,,,,,,,,,,,,,,,,,,,
2,1,5,5:25,,,,,,,,,,,,,,,,,,,,,,
2,1,6,5:28,,,,,,,,,,,,,,,,,,,,,,
2,2,1,5:34,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
2,2,1,5:34,Blauwborst,1,,,,,,,,,,,,,,,,,,,,
2,2,1,5:34,Kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
2,2,2,5:39,Kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
2,2,2,5:39,Rietgors,Meerdere,,,,,,,,,,,,,,,,,,,,
2,2,2,5:39,Blauwborst,1,,,,,,,,,,,,,,,,,,,,
2,2,3,5:43,Tafeleend,2,,,,,,,,,,,,,,,,,,,,
2,2,3,5:43,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
2,2,3,5:43,Roerdomp,1,,,,,,,,,,,,,,,,,,,,
2,2,4,5:49,Cetti's zanger,2,,,,,,,,,,,,,,,,,,,,
2,2,4,5:49,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
2,2,4,5:49,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
2,2,5,5:54,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
2,2,5,5:54,Blauwborst,1,,,,,,,,,,,,,,,,,,,,
2,2,5,5:54,Cetti's zanger,1,,,,,,,,,,,,,,,,,,,,
2,2,5,5:54,Sprinkhaanzanger,1,,,,,,,,,,,,,,,,,,,,
2,2,6,6:04,Tafeleend,1,,,,,,,,,,,,,,,,,,,,
2,2,6,6:04,Kuifeend,2,,,,,,,,,,,,,,,,,,,,
2,2,7,6:14,,,,,,,,,,,,,,,,,,,,,,
2,2,8,6:18,,,,,,,,,,,,,,,,,,,,,,
2,2,9,6:22,Grote karekiet,1,,,,,,,,,,,,,,,,,,,,
3,1,1,10:00,Kuifeend,2,,,,,,,,,,,,,,,,,,,,
