Area,X.coordinates,Y.coordinates,X.wert,Y.wert
DS1 (am Randkanal),"52°32'37,078""N ","8°19'32,869""E ",X-Wert: 0454423,Y-Wert: 5821747
DS1,"52°32'39,112""N ","8°19'42,483""E",x-Wert: 0454460,y-Wert: 5821780
DS1,"52°32'43,976""N ","8°19'49,81""E ",x-Wert: 0454493,y-Wert: 5821817
DS1,"52°32'44,282""N ","8°19'49,78""E",x-Wert: 0454536,y-Wert: 5821849
DS1,"52°32'45,804""N ","8°20'10,765""E",x-Wert: 0454564 (– 0454598),y-Wert: 5821896 (- 5821932)
DS1,"52°32'46,497""N ","8°20'21,515""E",x-Wert: 0454598,y-Wert: 5821932
DS2 (an der Hunte),"52°33'36,819""N ","8°20'33,573""E",X-Wert: 0455259,Y-Wert: 5823891
DS2,"52°33'42,569""N","8°20'28,426""E ",x-Wert: 0455247,y-Wert: 5823938
DS2,"52°33'48,223""N ","8°20'23,601""E",x-Wert: 0455250,y-Wert: 5823988
DS2,"52°33'54,571""N ","8°20'25,253""E",x-Wert: 0455258,y-Wert: 5824037
DS2,"52°34'0,9""N ","8°20'26,403""E",x-Wert: 0455272 (- 0455284),y-Wert: 5824081 (- 5824130)
DS2,"52°34'6,968""N ","8°20'24,558""E",x-Wert: 0455284,y-Wert: 5824130
,,,,
