Sub location (Area),PQ number,X-coordinates,Y-coordinates,Photo
AT1, 1.1,N52° 45.419',E10° 16.271',
AT1, 2.1,N52° 45.575',E10° 16.207',
AT1, 3.1,N52° 45.444' ,E10° 16.356',
AT1, 4.1,N52° 45.659',E10° 16.527',
DS1, 1.1,N52° 32.668', E8° 19.753',
DS1, 2.1,N52° 32.683',E8° 19.796',
DS1, 3.1,N52° 33.848',E8° 20.420',
DS1, 4.1,N52° 33.870',E8° 20.395',
Altarm Vechte (V3),1,52.607239,6.794490,
Altarm Vechte (V3),2,52.606535,6.800216,
Altarm Vechte (V3),3,52.606170,6.798722,
Altarm Vechte (V3),4,52.608420,6.794205,
