Area,Section,Round,Year,Month,Day,Time,Temperature,Wind  (Bft),Cloud coverage,Precipitation,Species (ger/lat),Species (eng/lat),Amount,Mating wheel,Oviposition,,
Aschauteiche_nord,A,1,2021,6,17,10:55,ca. 30°,2,0,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),>5,,,Test Round,
Aschauteiche_nord,A,1,2021,6,17,10:55,ca. 30°,2,0,0,Hufeisen- Azurjungfer (Coenagrion puella),Azure damselfly (Coenagrion puella),>3,,,,
Aschauteiche_nord,A,1,2021,6,17,10:55,ca. 30°,2,0,0,Fledermaus- Azurjungfer (Coenagrion pulchellum),Variable damselfly (Coenagrion pulchellum),1,,,,
Aschauteiche_nord,A *dragonfly,1,2021,6,17,10:55,ca. 30°,2,0,0,(Blutrote) Heidelibelle,Sympetrum (sanguineum),>2,,,,
Aschauteiche_nord,A *dragonfly,1,2021,6,17,10:55,ca. 30°,2,0,0,Große Heidelibelle,Sympetrum striolatum,>5,,,Blutrote/Gemeine?,
Aschauteiche_nord,A,1,2021,6,17,10:55,ca. 30°,2,0,0,Gemeine Binsenjungfer,Lestes sponsa,>10,,,,
Aschauteiche_nord,B,1,2021,6,17,11:32,ca. 30°,2,0,0,(Gemeine) Binsenjungfer,Lestes (sponsa),>3,,,,
Aschauteiche_nord,B *dragonfly,1,2021,6,17,11:32,ca. 30°,2,0,0,Großer Blaupfeil,Orthetrum cancellatum,>3,,,,
Aschauteiche_nord,B,1,2021,6,17,11:32,ca. 30°,2,0,0,(Kleines) Granatauge (Erythromma viridulum),Small red-eyed damselfly (Erythromma viridulum),2,YES,,or red-eyed,
Aschauteiche_nord,B,1,2021,6,17,11:32,ca. 30°,2,0,0,Hufeisen- Azurjungfer (Coenagrion puella),Azure damselfly (Coenagrion puella),>3,,,,
Aschauteiche_nord,B *dragonfly,1,2021,6,17,11:32,ca. 30°,2,0,0,(Große/Blutrote) Heidelibelle,Sympetrum,>5,,,,
Aschauteiche_nord,B,1,2021,6,17,11:32,ca. 30°,2,0,0,(Glänzende) Binsenjungfer,Lestes (dryas),1,,,,
Aschauteiche_nord,B,1,2021,6,17,11:32,ca. 30°,2,0,0,unknown - IMG_9255+58,,1,,,,
Aschauteiche_nord,C,1,2021,6,17,11:41,ca. 30°,2,0,0,(Gemeine) Binsenjungfer,Lestes (sponsa),>3,,,,
Aschauteiche_nord,C *dragonfly,1,2021,6,17,11:41,ca. 30°,2,0,0,Große Heidelibelle,Sympetrum striolatum,1,,,Blutrote/Gemeine?,
Aschauteiche_nord,C *dragonfly,1,2021,6,17,11:41,ca. 30°,2,0,0,Großer Blaupfeil,Orthetrum cancellatum,2,,,,
Aschauteiche_nord,D *dragonfly,1,2021,6,17,11:47,ca. 30°,2,0,0,(Große/Blutrote) Heidelibelle,Sympetrum,>3,,,,
Aschauteiche_nord,D,1,2021,6,17,11:47,ca. 30°,2,0,0,(Glänzende/Gemeine) Binsenjungfer,Lestes (sponsa/dryas),>3,,,,
Aschauteiche_nord,D *dragonfly,1,2021,6,17,11:47,ca. 30°,2,0,0,Großer Blaupfeil,Orthetrum cancellatum,>2,,,,
Aschauteiche_nord,E *dragonfly,1,2021,6,17,11:55,ca. 30°,2,0,0,Vierfleck,Libellula quadrimaculata,>3,,,,
Aschauteiche_nord,E *dragonfly,1,2021,6,17,11:55,ca. 30°,2,0,0,Früher Schilfjäger (Brachytron pratense),Hairy Dragonfly (Brachytron pratense),1,,,not sure,
Aschauteiche_nord,E *dragonfly,1,2021,6,17,11:55,ca. 30°,2,0,0,Große Heidelibelle,Sympetrum striolatum,1,,,Blutrote/Gemeine?,
Aschauteiche_nord,A,2,2021,6,25,11:55 beginning,19,2,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,ca. 30-40,1,,,
Aschauteiche_nord,A,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,5,1,,,
Aschauteiche_nord,A,2,2021,6,25,11:55,19,2,2/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),3,,,,
Aschauteiche_nord,A,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,11,,,Blutrote - Gemeine?,
Aschauteiche_nord,B,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,14,,,,
Aschauteiche_nord,B,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,8,,,,
Aschauteiche_nord,C,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,1,,,,
Aschauteiche_nord,C,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,3,,,,
Aschauteiche_nord,B *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,5,,,Blutrote - Gemeine?,
Aschauteiche_nord,C,2,2021,6,25,11:55,19,2,2/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),1,,,,
Aschauteiche_nord,B *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,3,,,,
Aschauteiche_nord,D,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,25,,,,
Aschauteiche_nord,D,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,15,,,,
Aschauteiche_nord,D,2,2021,6,25,11:55,19,2,2/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),4,,,,
Aschauteiche_nord,E,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,7,,,,
Aschauteiche_nord,E,2,2021,6,25,11:55,19,2,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,25,,,,
Aschauteiche_nord,C *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,2,,,Blutrote - Gemeine?,
Aschauteiche_nord,E,2,2021,6,25,11:55,19,2,2/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),4,,,,
Aschauteiche_nord,C *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,2,,,,
Aschauteiche_nord,C *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,9,,,Blutrote - Gemeine?,
Aschauteiche_nord,C *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,3,,,,
Aschauteiche_nord,D *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,12,,,Blutrote - Gemeine?,
Aschauteiche_nord,D *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,6,,,,
Aschauteiche_nord,E *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Heidelibelle,Sympetrum,30,,,Blutrote - Gemeine?,
Aschauteiche_nord,E *dragonfly,2,2021,6,25,11:55,19,2,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,1,,,,
Aschauteiche_nord,A,3,2021,7,7,10:40 beginning,20,3,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,80,1,,,
Aschauteiche_nord,A,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,2,1,,,
Aschauteiche_nord,A,3,2021,7,7,10:40,20,3,2/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),4,,,,
Aschauteiche_nord,A *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Heidelibelle,Sympetrum,14,,,Blutrote,
Aschauteiche_nord,A *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,1,,,,
Aschauteiche_nord,B,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,37,,,,
Aschauteiche_nord,B,3,2021,7,7,10:40,20,3,2/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),1,,,,
Aschauteiche_nord,B,3,2021,7,7,10:40,20,3,2/8,0,Hufeisen- Azurjungfer (Coenagrion puella),Azure damselfly (Coenagrion puella),2,,,,
Aschauteiche_nord,C,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,25,,,,
Aschauteiche_nord,C,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,8,,,,
Aschauteiche_nord,B *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Heidelibelle,Sympetrum,16,,,Blutrote,
Aschauteiche_nord,B *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Großer Blaupfeil,Orthetrum cancellatum,2,,,,
Aschauteiche_nord,D,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,15,,,,
Aschauteiche_nord,D,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,10,,,,
Aschauteiche_nord,D,3,2021,7,7,10:40,20,3,2/8,0,Große Pechlibelle (Ischnura elegans),Blue-tailed damselfly (Ischnura elegans),1,,,,
Aschauteiche_nord,E,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♂,Lestes sponsa,19,,,,
Aschauteiche_nord,E,3,2021,7,7,10:40,20,3,2/8,0,Gemeine Binsenjungfer ♀,Lestes sponsa,5,,,,
Aschauteiche_nord,C *dragonfly,3,2021,7,7,10:40,20,3,2/8,0,Heidelibelle,Sympetrum,16,1,,Blutrote,
