"","basisOfRecord","eventDate","eventTime","scientificName","kingdom","taxonRank","individualCount","decimalLatitude","decimalLongitude","countryCode","project_area","Group","plantCategory","occurenceID"
"3551","AcceptedTaxon",2020-04-22,"00:00+01:00","Phalaris arundinacea","Plantae","species","1","51.86844","5.95763","NL",10,"Plants","3","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0568"
"3611","AcceptedTaxon",2020-04-23,"00:00+01:00","Phragmites australis","Plantae","species","1","51.86712","6.00801","NL",10,"Plants","2","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0569"
"3641","AcceptedTaxon",2020-04-23,"00:00+01:00","Phalaris arundinacea","Plantae","species","1","51.86712","6.00801","NL",10,"Plants","R","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0570"
"3731","AcceptedTaxon",2020-04-23,"00:00+01:00","Phalaris arundinacea","Plantae","species","1","51.86605","6.0044","NL",10,"Plants","3","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0571"
"3821","AcceptedTaxon",2020-04-23,"00:00+01:00","Phalaris arundinacea","Plantae","species","1","51.86175","5.99909","NL",10,"Plants","2","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0572"
"3891","AcceptedTaxon",2020-04-23,"00:00+01:00","Typha latifolia","Plantae","species","1","51.86628","6.00797","NL",10,"Plants","5","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0573"
"3971","AcceptedTaxon",2020-04-24,"00:00+01:00","Phragmites australis","Plantae","species","1","51.91404","6.00308","NL",10,"Plants","4","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0574"
"4091","AcceptedTaxon",2020-04-24,"00:00+01:00","Phalaris arundinacea","Plantae","species","1","51.91582","6.00852","NL",10,"Plants","+","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0575"
"4151","AcceptedTaxon",2020-04-24,"00:00+01:00","Phragmites australis","Plantae","species","1","51.90919","6.03685","NL",10,"Plants","2","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0576"
"4242","AcceptedTaxon",2020-04-24,"00:00+01:00","Phragmites australis","Plantae","species","1","51.89779","6.0488","NL",10,"Plants","2","https://hetwaterschapshuis.sharepoint.com/sites/1084/Dashboard/Forms/AllItems.aspx?csf=1&web=1&e=Y5CqNG%2F&cid=672837e7%2D83d8%2D42ed%2D8bba%2D244d58943c2b&RootFolder=%2Fsites%2F1084%2FDashboard%2FNetherlands&FolderCTID=0x0120003F39983DD750B64A9A79D97E7303C9A7/0577"
