Locatie,Datum,Stops in meters,Locatie + stops,Rondes,X,Y,Soorten,Aantal,Gedragscode,Temperatuur,Bewolking,Neerslag,Wind
Aerdt,6/7/21,0,Aerdt0,Avond,51.89495,6.09141,Zwarte stern,,,15,0,0,NO0
Aerdt,6/7/21,0,Aerdt0,Avond,51.89495,6.09141,Grote karekiet,,,15,0,0,NO0
Aerdt,6/7/21,0,Aerdt0,Avond,51.89495,6.09141,Tafeleend,,,15,0,0,NO0
Aerdt,6/7/21,0,Aerdt0,Avond,51.89495,6.09141,Kuifeend,,,15,0,0,NO0
Aerdt,6/7/21,0,Aerdt0,Avond,51.89495,6.09141,Woudaap,,,15,0,0,NO0
Aerdt,6/7/21,0,Aerdt0,Avond,51.89495,6.09141,Buidelmees,,,15,0,0,NO0
Aerdt,6/7/21,0,Aerdt0,Avond,51.89495,6.09141,Dodaars,,,15,0,0,NO0
Aerdt,6/7/21,0,Aerdt0,Avond,51.89495,6.09141,Slobeend,,,15,0,0,NO0
Aerdt,6/7/21,100,Aerdt100,Avond,51.89495,6.09141,Blauwborst,,,15,0,0,NO0
Aerdt,6/7/21,100,Aerdt100,Avond,51.89592,6.09213,Roerdomp,,,15,0,0,NO0
Aerdt,6/7/21,100,Aerdt100,Avond,51.89592,6.09213,Zwarte stern,,,15,0,0,NO0
Aerdt,6/7/21,100,Aerdt100,Avond,51.89592,6.09213,Grote karekiet,,,15,0,0,NO0
Aerdt,6/7/21,100,Aerdt100,Avond,51.89592,6.09213,Tafeleend,,,15,0,0,NO0
Aerdt,6/7/21,100,Aerdt100,Avond,51.89592,6.09213,Kuifeend,,,15,0,0,NO0
Aerdt,6/7/21,100,Aerdt100,Avond,51.89592,6.09213,Woudaap,,,15,0,0,NO0
Aerdt,6/7/21,100,Aerdt100,Avond,51.89592,6.09213,Buidelmees,,,15,0,0,NO0
Aerdt,6/7/21,100,Aerdt100,Avond,51.89592,6.09213,Dodaars,,,15,0,0,NO0
Aerdt,6/7/21,100,Aerdt100,Avond,51.89592,6.09213,Slobeend,,,15,0,0,NO0
Aerdt,6/7/21,100,Aerdt100,Avond,51.89592,6.09213,Blauwborst,,,15,0,0,NO0
Aerdt,6/7/21,200,Aerdt200,Avond,51.89632,6.09084,Roerdomp,,,15,0,0,NO0
Aerdt,6/7/21,200,Aerdt200,Avond,51.89632,6.09084,Zwarte stern,,,15,0,0,NO0
Aerdt,6/7/21,200,Aerdt200,Avond,51.89632,6.09084,Grote karekiet,,,15,0,0,NO0
Aerdt,6/7/21,200,Aerdt200,Avond,51.89632,6.09084,Tafeleend,,,15,0,0,NO0
Aerdt,6/7/21,200,Aerdt200,Avond,51.89632,6.09084,Kuifeend,,,15,0,0,NO0
Aerdt,6/7/21,200,Aerdt200,Avond,51.89632,6.09084,Woudaap,,,15,0,0,NO0
Aerdt,6/7/21,200,Aerdt200,Avond,51.89632,6.09084,Buidelmees,,,15,0,0,NO0
Aerdt,6/7/21,200,Aerdt200,Avond,51.89632,6.09084,Dodaars,,,15,0,0,NO0
Aerdt,6/7/21,200,Aerdt200,Avond,51.89632,6.09084,Slobeend,,,15,0,0,NO0
Aerdt,6/7/21,200,Aerdt200,Avond,51.89632,6.09084,Blauwborst,,,15,0,0,NO0
Aerdt,6/7/21,300,Aerdt300,Avond,51.89665,6.09209,Roerdomp,,,15,0,0,NO0
Aerdt,6/7/21,300,Aerdt300,Avond,51.89665,6.09209,Zwarte stern,,,15,0,0,NO0
Aerdt,6/7/21,300,Aerdt300,Avond,51.89665,6.09209,Grote karekiet,,,15,0,0,NO0
Aerdt,6/7/21,300,Aerdt300,Avond,51.89665,6.09209,Tafeleend,,,15,0,0,NO0
Aerdt,6/7/21,300,Aerdt300,Avond,51.89665,6.09209,Kuifeend,,,15,0,0,NO0
Aerdt,6/7/21,300,Aerdt300,Avond,51.89665,6.09209,Woudaap,,,15,0,0,NO0
Aerdt,6/7/21,300,Aerdt300,Avond,51.89665,6.09209,Buidelmees,,,15,0,0,NO0
Aerdt,6/7/21,300,Aerdt300,Avond,51.89665,6.09209,Dodaars,,,15,0,0,NO0
Aerdt,6/7/21,300,Aerdt300,Avond,51.89665,6.09209,Slobeend,,,15,0,0,NO0
Aerdt,6/7/21,300,Aerdt300,Avond,51.89665,6.09209,Blauwborst,,,15,0,0,NO0
Aerdt,6/7/21,400,Aerdt400,Avond,51.89695,6.09326,Roerdomp,,,15,0,0,NO0
Aerdt,6/7/21,400,Aerdt400,Avond,51.89695,6.09326,Zwarte stern,,,15,0,0,NO0
Aerdt,6/7/21,400,Aerdt400,Avond,51.89695,6.09326,Grote karekiet,,,15,0,0,NO0
Aerdt,6/7/21,400,Aerdt400,Avond,51.89695,6.09326,Tafeleend,,,15,0,0,NO0
Aerdt,6/7/21,400,Aerdt400,Avond,51.89695,6.09326,Kuifeend,,,15,0,0,NO0
Aerdt,6/7/21,400,Aerdt400,Avond,51.89695,6.09326,Woudaap,,,15,0,0,NO0
Aerdt,6/7/21,400,Aerdt400,Avond,51.89695,6.09326,Buidelmees,,,15,0,0,NO0
Aerdt,6/7/21,400,Aerdt400,Avond,51.89695,6.09326,Dodaars,,,15,0,0,NO0
Aerdt,6/7/21,400,Aerdt400,Avond,51.89695,6.09326,Slobeend,,,15,0,0,NO0
Aerdt,6/7/21,400,Aerdt400,Avond,51.89695,6.09326,Blauwborst,,,15,0,0,NO0
