Locatie,Datum,Stops in meters,Locatie + Stops,Rondes,X,Y,Soorten,Aantal,Paringswiel,Ei-afzettend,Temperatuur,Bewolking,Neerslag,Bft
Rijnstrangengemaal,6/4/21,0,Rijnstrangengemaal 0,Ronde_1,51.914393,6.004059,Azuurwaterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,0,Rijnstrangengemaal 0,Ronde_1,51.914393,6.004059,Blauwe breedscheenjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,0,Rijnstrangengemaal 0,Ronde_1,51.914393,6.004059,Watersnuffel,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,0,Rijnstrangengemaal 0,Ronde_1,51.914393,6.004059,Kleine Roodoofjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,0,Rijnstrangengemaal 0,Ronde_1,51.914393,6.004059,Grote Roodoogjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,0,Rijnstrangengemaal 0,Ronde_1,51.914393,6.004059,Lantaarntje,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,0,Rijnstrangengemaal 0,Ronde_1,51.914393,6.004059,Variabele waterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,0,Rijnstrangengemaal 0,Ronde_1,51.914393,6.004059,Maanwater juffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,0,Rijnstrangengemaal 0,Ronde_1,51.914393,6.004059,Speerwaterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,0,Rijnstrangengemaal 0,Ronde_1,51.914393,6.004059,Donkere waterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,50,Rijnstrangengemaal 50,Ronde_1,51.91431,6.00347,Azuurwaterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,50,Rijnstrangengemaal 50,Ronde_1,51.91431,6.00347,Blauwe breedscheenjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,50,Rijnstrangengemaal 50,Ronde_1,51.91431,6.00347,Watersnuffel,1,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,50,Rijnstrangengemaal 50,Ronde_1,51.91431,6.00347,Kleine Roodoofjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,50,Rijnstrangengemaal 50,Ronde_1,51.91431,6.00347,Grote Roodoogjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,50,Rijnstrangengemaal 50,Ronde_1,51.91431,6.00347,Lantaarntje,2,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,50,Rijnstrangengemaal 50,Ronde_1,51.91431,6.00347,Variabele waterjuffer,2,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,50,Rijnstrangengemaal 50,Ronde_1,51.91431,6.00347,Maanwater juffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,50,Rijnstrangengemaal 50,Ronde_1,51.91431,6.00347,Speerwaterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,50,Rijnstrangengemaal 50,Ronde_1,51.91431,6.00347,Donkere waterjuffer,,,,24,1/8,geen,ONO3
Rijnstrangengemaal,6/4/21,100,Rijnstrangengemaal 100,Ronde_1,51.91451,6.00442,Azuurwaterjuffer,,,,24,1/8,geen,ONO3
