Locatie,Datum,Stops in meters,Locatie+stops,Rondes,X,Y,Temperatuur,Bewolking,Neerslag,Bft,Aantal,Paringswiel,Ei afzettend
Rijnstrangengemaal,6/4/21,0,Rijnstrangengemaal 0,Ronde_1,51.914393,6.004059,24, 1/8,geen,ONO3,2,,
Rijnstrangengemaal,6/4/21,100,Rijnstrangengemaal 100,Ronde_1,51.91451,6.00442,24, 1/8,geen,ONO3,1,,
Rijnstrangengemaal,6/4/21,200,Rijnstrangengemaal 200,Ronde_1,51.915024,6.006477,24, 1/8,geen,ONO3,1,,
Rijnstrangengemaal,6/4/21,300,Rijnstrangengemaal 300,Ronde_1,51.91541,6.00725,24, 1/8,geen,ONO3,4,,
Rijnstrangengemaal,6/4/21,400,Rijnstrangengemaal 400,Ronde_1,51.915848,6.008428,24, 1/8,geen,ONO3,2,,
Rijnstrangengemaal,6/4/21,500,Rijnstrangengemaal 500,Ronde_1,,,,,,,,,
Rijnstrangenaerdt,6/4/21,0,Rijnstrangenaerdt 0,Ronde_1,51.89936,6.09373,25, 1/8,geen,NNO2,3,,
Rijnstrangenaerdt,6/4/21,100,Rijnstrangenaerdt 100,Ronde_1,51.89888,6.09459,25, 1/8,geen,NNO2,,,
Rijnstrangenaerdt,6/4/21,200,Rijnstrangenaerdt 200,Ronde_1,51.89829,6.09653,25, 1/8,geen,NNO2,3,,
Rijnstrangenaerdt,6/4/21,300,Rijnstrangenaerdt 300,Ronde_1,51.89755,6.09594,25, 1/8,geen,NNO2,,,
Rijnstrangenaerdt,6/4/21,400,Rijnstrangenaerdt 400,Ronde_1,51.89722,6.09494,25, 1/8,geen,NNO2,1,,
Rijnstrangenaerdt,6/4/21,500,Rijnstrangenaerdt 500,Ronde_1,51.89706,6.09381,25, 1/8,geen,NNO2,,,
Rijnstrangengemaal,6/15/21,0,Rijnstrangengemaal 0,Ronde_2,51.914393,6.004059,19, 1/4,geen,ONO2,3,,
Rijnstrangengemaal,6/15/21,100,Rijnstrangengemaal 100,Ronde_2,51.91451,6.00442,19, 1/4,geen,ONO2,,,
Rijnstrangengemaal,6/15/21,200,Rijnstrangengemaal 200,Ronde_2,51.915024,6.006477,19, 1/4,geen,ONO2,1,,
Rijnstrangengemaal,6/15/21,300,Rijnstrangengemaal 300,Ronde_2,51.91541,6.00725,19, 1/4,geen,ONO2,1,,
Rijnstrangengemaal,6/15/21,400,Rijnstrangengemaal 400,Ronde_2,51.915848,6.008428,19, 1/4,geen,ONO2,2,2,1
Rijnstrangengemaal,6/15/21,500,Rijnstrangengemaal 500,Ronde_2,,,,,,,,,
Rijnstrangenaerdt,6/15/21,0,Rijnstrangenaerdt 0,Ronde_2,51.89936,6.09373,17.9, 1/8,geen,O2,1,,
Rijnstrangenaerdt,6/15/21,100,Rijnstrangenaerdt 100,Ronde_2,51.89888,6.09459,17.9, 1/8,geen,O2,1,,
Rijnstrangenaerdt,6/15/21,200,Rijnstrangenaerdt 200,Ronde_2,51.89829,6.09653,17.9, 1/8,geen,O2,,,
Rijnstrangenaerdt,6/15/21,300,Rijnstrangenaerdt 300,Ronde_2,51.89755,6.09594,17.9, 1/8,geen,O2,,,
Rijnstrangenaerdt,6/15/21,400,Rijnstrangenaerdt 400,Ronde_2,51.89722,6.09494,17.9, 1/8,geen,O2,,1,
Rijnstrangenaerdt,6/15/21,500,Rijnstrangenaerdt 500,Ronde_2,51.89706,6.09381,17.9, 1/8,geen,O2,,,
Rijnstrangengemaal,7/9/21,0,Rijnstrangengemaal 0,Ronde_3,51.914393,6.004059,23, 3/8,geen,W2,,,
Rijnstrangengemaal,7/9/21,100,Rijnstrangengemaal 100,Ronde_3,51.91451,6.00442,23, 3/8,geen,W2,,,
Rijnstrangengemaal,7/9/21,200,Rijnstrangengemaal 200,Ronde_3,51.915024,6.006477,23, 3/8,geen,W2,,,
Rijnstrangengemaal,7/9/21,300,Rijnstrangengemaal 300,Ronde_3,51.91541,6.00725,23, 3/8,geen,W2,,,
Rijnstrangengemaal,7/9/21,400,Rijnstrangengemaal 400,Ronde_3,51.915848,6.008428,23, 3/8,geen,W2,,,
Rijnstrangengemaal,7/9/21,500,Rijnstrangengemaal 500,Ronde_3,,,,,,,,,
Rijnstrangenaerdt,7/9/21,0,Rijnstrangenaerdt 0,Ronde_3,51.89936,6.09373,22, 3/8,geen,WZW3,,,
Rijnstrangenaerdt,7/9/21,100,Rijnstrangenaerdt 100,Ronde_3,51.89888,6.09459,22, 3/8,geen,WZW3,,,
Rijnstrangenaerdt,7/9/21,200,Rijnstrangenaerdt 200,Ronde_3,51.89829,6.09653,22, 3/8,geen,WZW3,,,
Rijnstrangenaerdt,7/9/21,300,Rijnstrangenaerdt 300,Ronde_3,51.89755,6.09594,22, 3/8,geen,WZW3,,,
Rijnstrangenaerdt,7/9/21,400,Rijnstrangenaerdt 400,Ronde_3,51.89722,6.09494,22, 3/8,geen,WZW3,,,
Rijnstrangenaerdt,7/9/21,500,Rijnstrangenaerdt 500,Ronde_3,51.89706,6.09381,22, 3/8,geen,WZW3,,,
Rijnstrangengemaal,7/16/21,0,Rijnstrangengemaal 0,Ronde_4,51.914393,6.004059,17,1    ,geen,NNW 3,,,
Rijnstrangengemaal,7/16/21,100,Rijnstrangengemaal 100,Ronde_4,51.91451,6.00442,17,1    ,geen,NNW 3,,,
Rijnstrangengemaal,7/16/21,200,Rijnstrangengemaal 200,Ronde_4,51.915024,6.006477,17,1    ,geen,NNW 3,,,
Rijnstrangengemaal,7/16/21,300,Rijnstrangengemaal 300,Ronde_4,51.91541,6.00725,17,1    ,geen,NNW 3,,,
Rijnstrangengemaal,7/16/21,400,Rijnstrangengemaal 400,Ronde_4,51.915848,6.008428,17,1    ,geen,NNW 3,,,
Rijnstrangengemaal,7/16/21,500,Rijnstrangengemaal 500,Ronde_4,,,,,,,,,
Rijnstrangenaerdt,7/16/21,0,Rijnstrangenaerdt 0,Ronde_4,51.89936,6.09373,21, 3/4,geen,N1,,,
Rijnstrangenaerdt,7/16/21,100,Rijnstrangenaerdt 100,Ronde_4,51.89888,6.09459,21, 3/4,geen,N1,,,
Rijnstrangenaerdt,7/16/21,200,Rijnstrangenaerdt 200,Ronde_4,51.89829,6.09653,21, 3/4,geen,N1,,,
Rijnstrangenaerdt,7/16/21,300,Rijnstrangenaerdt 300,Ronde_4,51.89755,6.09594,21, 3/4,geen,N1,,,
Rijnstrangenaerdt,7/16/21,400,Rijnstrangenaerdt 400,Ronde_4,51.89722,6.09494,21, 3/4,geen,N1,,,
Rijnstrangenaerdt,7/16/21,500,Rijnstrangenaerdt 500,Ronde_4,51.89706,6.09381,21, 3/4,geen,N1,,,
