Plotnaam,Plotjes,Soorten,Ronde,X-Rechts,Y-Rechts,X-Links,Y-Links,Datum,Temperatuur,Bewolking,Neerslag,Wind,Categorie,Dichtheid,Bedekking
Aerdt,1,Riet,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,2,<5%,
Aerdt,1,Lisdodde,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,1,Witte waterlelie,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,1,Rietgras,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,2,<5%,
Aerdt,1,Liesgras,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,1,Grote egelskop,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,R,"<2,5%",
Aerdt,1,Mattebies,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,1,Ruwebies,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,1,Kleine lisdodde,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,2,Riet,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,3,25-50%,
Aerdt,2,Lisdodde,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,2,Witte waterlelie,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,2,Rietgras,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,2,<5%,
Aerdt,2,Liesgras,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,2,Grote egelskop,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,2,Mattebies,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,2,Ruwebies,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,2,Kleine lisdodde,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,3,Riet,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,3,25-50%,
Aerdt,3,Lisdodde,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,3,Witte waterlelie,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,3,Rietgras,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,2,<5%,
Aerdt,3,Liesgras,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,3,Grote egelskop,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,3,Mattebies,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,3,Ruwebies,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,3,Kleine lisdodde,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,4,Riet,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,+,<5%,
Aerdt,4,Lisdodde,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,4,Witte waterlelie,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,4,Rietgras,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,2,<5%,
Aerdt,4,Liesgras,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,4,Grote egelskop,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,4,Mattebies,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,4,Ruwebies,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,,,
Aerdt,4,Kleine lisdodde,Ronde_1,,,,,02/08/21,17, 1/4,geen,ZZW2,R,"<2,5%",
Gemaal,1,Riet,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,4,50-75%,
Gemaal,1,Lisdodde,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,1,Witte waterlelie,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,1,Rietgras,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,+,<5%,
Gemaal,1,Liesgras,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,1,Grote egelskop,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,1,Mattebies,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,1,Ruwebies,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,1,Kleine lisdodde,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,2,Riet,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
Gemaal,2,Lisdodde,Ronde_1,,,,,16/08/21,19, 3/8,geen,ZZW3,,,
