Plotnaam,Plotjes,Soorten,Ronde,X-Rechts,Y-Rechts,X-Links,Y-Links,Datum,Temperatuur,Bewolking,Neerslag,Categorie,Dichtheid,Bedekking
Bisonbaai,1,Riet,Ronde_1,51.86637,5.9268,51.86639,5.92679,20/04/20,16,0,0,,,
Bisonbaai,1,Lisdodde,Ronde_1,51.86637,5.9268,51.86639,5.92679,20/04/20,16,0,0,,,
Bisonbaai,1,Witte waterlelie,Ronde_1,51.86637,5.9268,51.86639,5.92679,20/04/20,16,0,0,,,
Bisonbaai,1,Rietgras,Ronde_1,51.86637,5.9268,51.86639,5.92679,20/04/20,16,0,0,,,
Bisonbaai,1,Liesgras,Ronde_1,51.86637,5.9268,51.86639,5.92679,20/04/20,16,0,0,,,
Bisonbaai,1,Grote egelskop,Ronde_1,51.86637,5.9268,51.86639,5.92679,20/04/20,16,0,0,,,
Bisonbaai,1,Mattebies,Ronde_1,51.86637,5.9268,51.86639,5.92679,20/04/20,16,0,0,,,
Bisonbaai,1,Ruwebies,Ronde_1,51.86637,5.9268,51.86639,5.92679,20/04/20,16,0,0,,,
Bisonbaai,1,Waterlelie SP,Ronde_1,51.86637,5.9268,51.86639,5.92679,20/04/20,16,0,0,,,
Bisonbaai,2,Riet,Ronde_1,51.87002,5.92128,51.87004,5.9217,20/04/20,16,0,0,,,
Bisonbaai,2,Lisdodde,Ronde_1,51.87002,5.92128,51.87004,5.9217,20/04/20,16,0,0,,,
Bisonbaai,2,Witte waterlelie,Ronde_1,51.87002,5.92128,51.87004,5.9217,20/04/20,16,0,0,,,
Bisonbaai,2,Rietgras,Ronde_1,51.87002,5.92128,51.87004,5.9217,20/04/20,16,0,0,,,
Bisonbaai,2,Liesgras,Ronde_1,51.87002,5.92128,51.87004,5.9217,20/04/20,16,0,0,,,
Bisonbaai,2,Grote egelskop,Ronde_1,51.87002,5.92128,51.87004,5.9217,20/04/20,16,0,0,,,
Bisonbaai,2,Mattebies,Ronde_1,51.87002,5.92128,51.87004,5.9217,20/04/20,16,0,0,,,
Bisonbaai,2,Ruwebies,Ronde_1,51.87002,5.92128,51.87004,5.9217,20/04/20,16,0,0,,,
Bisonbaai,2,Waterlelie SP,Ronde_1,51.87002,5.92128,51.87004,5.9217,20/04/20,16,0,0,,,
Bisonbaai,3,Riet,Ronde_1,51.87037,5.92728,51.87037,5.92735,20/04/20,17,0,0,,,
Bisonbaai,3,Lisdodde,Ronde_1,51.87037,5.92728,51.87037,5.92735,20/04/20,17,0,0,,,
Bisonbaai,3,Witte waterlelie,Ronde_1,51.87037,5.92728,51.87037,5.92735,20/04/20,17,0,0,,,
Bisonbaai,3,Rietgras,Ronde_1,51.87037,5.92728,51.87037,5.92735,20/04/20,17,0,0,,,
Bisonbaai,3,Liesgras,Ronde_1,51.87037,5.92728,51.87037,5.92735,20/04/20,17,0,0,,,
Bisonbaai,3,Grote egelskop,Ronde_1,51.87037,5.92728,51.87037,5.92735,20/04/20,17,0,0,,,
Bisonbaai,3,Mattebies,Ronde_1,51.87037,5.92728,51.87037,5.92735,20/04/20,17,0,0,,,
Bisonbaai,3,Ruwebies,Ronde_1,51.87037,5.92728,51.87037,5.92735,20/04/20,17,0,0,,,
