Locatie,Transect,Part,Type,Lengte,Punt,Long,Lat,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,1,LW,50,start,5.66492,51.17837,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,1,LW,50,stop,5.66576,51.17787,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,2,L,50,start,5.66576,51.17787,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,2,L,50,stop,5.66653,51.17724,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,3,LW,50,start,5.66710,51.17716,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,3,LW,50,stop,5.66813,51.17740,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,4,L,50,start,5.66813,51.17740,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,4,L,50,stop,5.66834,51.17802,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,5,LW,50,start,5.66900,51.18055,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,5,LW,50,stop,5.66912,51.18116,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,6,L,50,start,5.66912,51.18116,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,6,L,50,stop,5.66915,51.18154,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,7,LW,50,start,5.66915,51.18154,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,7,LW,50,stop,5.66839,51.18175,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,8,L,50,start,5.66839,51.18175,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,8,L,50,stop,5.66759,51.18197,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,9,LW,50,start,5.66759,51.18197,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,9,LW,50,stop,5.66673,51.18217,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,10,L,50,start,5.66673,51.18217,,,,,,,,,,,,,,,,,,,,,
De Luysen,1,10,L,50,stop,5.66586,51.18239,,,,,,,,,,,,,,,,,,,,,
De Luysen,2,1,LW,50,start,5.66322,51.17990,,,,,,,,,,,,,,,,,,,,,
De Luysen,2,1,LW,50,stop,5.66229,51.18005,,,,,,,,,,,,,,,,,,,,,
De Luysen,2,2,L,50,start,5.66229,51.18005,,,,,,,,,,,,,,,,,,,,,
De Luysen,2,2,L,50,stop,5.66125,51.18016,,,,,,,,,,,,,,,,,,,,,
De Luysen,2,3,LW,50,start,5.66125,51.18016,,,,,,,,,,,,,,,,,,,,,
De Luysen,2,3,LW,50,stop,5.66059,51.18026,,,,,,,,,,,,,,,,,,,,,
De Luysen,2,4,L,50,start,5.66059,51.18026,,,,,,,,,,,,,,,,,,,,,
De Luysen,2,4,L,50,stop,5.66014,51.18083,,,,,,,,,,,,,,,,,,,,,
De Luysen,2,5,LW,50,start,5.66014,51.18083,,,,,,,,,,,,,,,,,,,,,
