ID,Datum,Locatie,Type,Soort,Bewolking,Neerslag,Temperatuur,Opmerkingen,,,,,,,,,,,,,,,,,,,
1,2021-04-26,De Luysen,Dag,Vogels,0%,0%,10,,,,,,,,,,,,,,,,,,,,
2,2021-04-30,De Luysen,Ochtend,Vogels,90%,0%,2,,,,,,,,,,,,,,,,,,,,
3,2021-05-05,Sint-Laureins,Dag,Vogels,20%,0%,7,,,,,,,,,,,,,,,,,,,,
4,2021-05-03,De Luysen,Ochtend,Vogels,30%,0%,2,,,,,,,,,,,,,,,,,,,,
5,2021-05-03,De Luysen,Dag,Vogels,10%,0%,8,Winderig,,,,,,,,,,,,,,,,,,,
6,2021-05-10,Sint-Laureins,Dag,Vogels,50%,0%,19,Winderig,,,,,,,,,,,,,,,,,,,
7,2021-05-12,Sint-Laureins,Ochtend,Vogels,50%,0%,7,,,,,,,,,,,,,,,,,,,,
8,2021-05-14,Sint-Laureins,Ochtend,Vogels,10%,0%,5,,,,,,,,,,,,,,,,,,,,
9,2021-05-17,Sint-Laureins,Ochtend,Vogels,100%,0%,10,,,,,,,,,,,,,,,,,,,,
10,2021-05-06,De Luysen,Ochtend,Vogels,50%,0%,5,No experienced birder present,,,,,,,,,,,,,,,,,,,
11,2021-06-04,Sint-Laureins,,Libellen,100%,0%,23,Winderig,,,,,,,,,,,,,,,,,,,
12,2021-06-02,De Luysen,,Libellen,0%,0%,27,,,,,,,,,,,,,,,,,,,,
13,2021-06-16,De Luysen,,Libellen,0%,0%,25,,,,,,,,,,,,,,,,,,,,
14,2021-06-24,De Luysen,,Libellen,80%,0%,18,Windy at times,,,,,,,,,,,,,,,,,,,
15,2021-07-02,Sint-Laureins,,Libellen,50%,0%,18,,,,,,,,,,,,,,,,,,,,
16,2021-09-21,De Luysen,,Planten,,,,,,,,,,,,,,,,,,,,,,,
17,2021-09-24,Sint-Laureins,,Planten,,,,,,,,,,,,,,,,,,,,,,,
18,2022-04-12,Sint-Laureins,Ochtend,Vogels,20%,0%,8,,,,,,,,,,,,,,,,,,,,
19,2022-04-28,Sint-Laureins,Dag,Vogels,20%,0%,18,Winderig,,,,,,,,,,,,,,,,,,,
20,2022-05-03,De Luysen,Dag,Vogels,30%,0%,17,,,,,,,,,,,,,,,,,,,,
21,2022-04-12,De Luysen,Ochtend,Vogels,20%,0%,8,No experienced birder present,,,,,,,,,,,,,,,,,,,
22,2022-06-03,Sint-Laureins,Ochtend,Vogels,80%,0%,14,,,,,,,,,,,,,,,,,,,,
23,2022-06-03,Sint-Laureins,,Libellen,10%,0%,26,Winderig,,,,,,,,,,,,,,,,,,,
24,2022-06-10,Sint-Laureins,Dag,Vogels,50%,0%,21,,,,,,,,,,,,,,,,,,,,
25,2022-06-10,Sint-Laureins,,Libellen,50%,0%,21,Winderig,,,,,,,,,,,,,,,,,,,
26,2022-06-01,De Luysen,Ochtend,Vogels,10%,0%,7,,,,,,,,,,,,,,,,,,,,
27,2022-06-13,De Luysen,Dag,Vogels,60%,0%,18,Winderig,,,,,,,,,,,,,,,,,,,
28,2022-06-13,De Luysen,,Libellen,60%,0%,18,Winderig,,,,,,,,,,,,,,,,,,,
29,2022-07-01,Sint-Laureins,Ochtend,Vogels,10%,0%,11,,,,,,,,,,,,,,,,,,,,
30,2022-07-01,Sint-Laureins,,Libellen,70%,0%,18,Winderig,,,,,,,,,,,,,,,,,,,
31,2022-07-04,De Luysen,Ochtend,Vogels,0%,0%,11,,,,,,,,,,,,,,,,,,,,
32,2022-07-04,De Luysen,,Libellen,0%,0%,21,,,,,,,,,,,,,,,,,,,,
33,2022-06-01,De Luysen,,Libellen,80%,0%,16,,,,,,,,,,,,,,,,,,,,
