Area,Stop,Round,Year,Month,Day,Time,Species (ger/lat),Species lat,Amount,Behavioural code,Comment
AT1,0,1,2021,4,20,06:25 beginning,Graugans (Anser anser) ,Anser anser,4,1;3,swimming
AT1,0,1,2021,4,20,06:25 beginning,Graugans (Anser anser) ,Anser anser,4,1;3;6,sitting
AT1,0,1,2021,4,20,06:25 beginning,Graureiher (Ardea cinerea),Ardea cinerea,1,1,flying
AT1,100,1,2021,4,20,06:25 beginning,0,#VALUE!,0,0,0
AT1,200,1,2021,4,20,06:25 beginning,Höckerschwan (Cygnus olor),Cygnus olor,2,1;6,swimming
AT1,200,1,2021,4,20,06:25 beginning,Stockente (Anas platyrhynchos),Anas platyrhynchos,2,1,flying
AT1,300,1,2021,4,20,06:25 beginning,Graureiher (Ardea cinerea),Ardea cinerea,1,1,sitting
AT1,300,1,2021,4,20,06:25 beginning,Graugans (Anser anser) ,Anser anser,2,1;3,swimming
AT1,300,1,2021,4,20,06:25 beginning,Bekassine ? (Gallinago gallinago),Gallinago gallinago,1,,flying
AT1,400,1,2021,4,20,06:25 beginning,Fischadler (Pandion haliaetus),Pandion haliaetus,1,1,flying
AT1,500,1,2021,4,20,06:25 beginning,0,#VALUE!,0,0,0
AT1,600,1,2021,4,20,06:25 beginning,Graugans (Anser anser) ,Anser anser,5,1,flying
AT1,600,1,2021,4,20,06:25 beginning,Fischadler (Pandion haliaetus),Pandion haliaetus,1,1,flying
AT1,600,1,2021,4,20,06:25 beginning,Blässhuhn (Fulica atra),Fulica atra,1,1,swimming
AT1,700,1,2021,4,20,06:25 beginning,0,#VALUE!,0,0,0
AT1,800,1,2021,4,20,06:25 beginning,Blässhuhn (Fulica atra),Fulica atra,1,1,swimming
AT1,900,1,2021,4,20,06:25 beginning,Stockente (Anas platyrhynchos),Anas platyrhynchos,2,1;3,swimming
AT1,1000,1,2021,4,20,06:25 beginning,Graugans (Anser anser) ,Anser anser,1,1,sitting
AT1,1000,1,2021,4,20,06:25 beginning,Höckerschwan (Cygnus olor),Cygnus olor,3,1;3,flying
AT1,0,2,2021,5,19,05:10 beginning,Höckerschwan (Cygnus olor),Cygnus olor,1,1,swimming
AT1,0,2,2021,5,19,05:10 beginning,Höckerschwan (Cygnus olor),Cygnus olor,1,6,sitting
AT1,0,2,2021,5,19,05:10 beginning,Graugans (Anser anser) ,Anser anser,1,1,swimming
AT1,0,2,2021,5,19,05:10 beginning,Graugans (Anser anser) ,Anser anser,4,1,flying
AT1,0,2,2021,5,19,05:10 beginning,Blässhuhn (Fulica atra),Fulica atra,2,1,swimming
AT1,0,2,2021,5,19,05:10 beginning,Kranich (Grus grus),Grus grus,1,2,singing
AT1,100,2,2021,5,19,05:10 beginning,Graugans (Anser anser) ,Anser anser,5,3,"swimming; 2 adults, 3 juveniles"
AT1,100,2,2021,5,19,05:10 beginning,Höckerschwan (Cygnus olor),Cygnus olor,1,1,swimming
AT1,200,2,2021,5,19,05:10 beginning,Graugans (Anser anser) ,Anser anser,4,3,"swimming; 1 adult, 3 juveniles"
AT1,300,2,2021,5,19,05:10 beginning,Graugans (Anser anser) ,Anser anser,2,1,flying
AT1,400,2,2021,5,19,05:10 beginning,Stockente (Anas platyrhynchos),Anas platyrhynchos,3,1,flying
AT1,400,2,2021,5,19,05:10 beginning,Stockente (Anas platyrhynchos),Anas platyrhynchos,1,1,swimming
