Area,Section,Meters,X-coordinates,Y-coordinates,X-coordinates,Y-coordinates
Aschauteiche_nord,A,0-50,N52° 45.414' ,E10° 16.281',,
Aschauteiche_nord,B,50-100,N52° 45.403' ,E10° 16.239',,
Aschauteiche_nord,C,100-150,N52° 45.393' ,E10° 16.199',,
Aschauteiche_nord,D,150-200,N52° 45.411',E10° 16.181',,
Aschauteiche_nord,E,200-250,N52° 45.442' ,E10° 16.180',,
DS1 (am Randkanal),A,0-50,X-Wert: 0454423,Y-Wert: 5821747,N52°32'38.0,E8°19'40.5
DS1 (am Randkanal),B,50-100,x-Wert: 0454460,y-Wert: 5821780,N52°32'39.1,E8°19'42.5
DS1 (am Randkanal),C,100-150,x-Wert: 0454493,y-Wert: 5821817,N52°32'40.3,E8°19'44.2
DS1 (am Randkanal),D,150-200,x-Wert: 0454536,y-Wert: 5821849,N52°32'41.4,E8°19'46.5
DS1 (am Randkanal),E,200-250,x-Wert: 0454564 - 0454598,y-Wert: 5821896 - 5821932,N52°32'42.9,E8°19'47.9
DS2 (an der Hunte),A,0-50,X-Wert: 0455259,Y-Wert: 5823891,N52°33'47.7,E8°20'23.9
DS2 (an der Hunte),B,50-100,x-Wert: 0455247,y-Wert: 5823938,N52°33'49.2,E8°20'23.2
DS2 (an der Hunte),C,100-150,x-Wert: 0455250,y-Wert: 5823988,N52°33'50.8,E8°20'23.3
DS2 (an der Hunte),D,150-200,x-Wert: 0455258,y-Wert: 5824037,N52°33'52.4,E8°20'23.7
DS2 (an der Hunte),E,200-250,x-Wert: 0455272 - 0455284,y-Wert: 5824081 - 5824130,N52°33'53.8,E8°20'24.5
