Sub location (Area),PQ number,Round,Year,Month,Day,Time,Species (ger/lat),Species (lat),Category,Bemerkung/Note/Coverage
AT1,1,1,2020,8,27,10:15,Breitblättriger Rohrkolben (Typha latifolia),Typha latifolia,2,
AT1,1,1,2020,8,27,10:15,Rohrglanzgras (Phalaris arundinacea),Phalaris arundinacea,5,
AT1,1,1,2020,8,27,10:15,Wasserknöterich (Persicaria amphibia),Persicaria amphibia,1,
AT1,2,1,2020,8,27,10:45,Landreitgras (Calamagrostis epigejos),Calamagrostis epigejos,2,
AT1,2,1,2020,8,27,10:45,Wasser Schwaden (Glyceria maxima),Glyceria maxima,3,
AT1,2,1,2020,8,27,10:45,Breitblättriger Rohrkolben (Typha latifolia),Typha latifolia,2,
AT1,2,1,2020,8,27,10:45,Weißes Straußgras (Agrostis stolonifera),Agrostis stolonifera,1,
AT1,3,1,2020,8,27,9:45,Schilf (Phragmites australis),Phragmites australis,4,
AT1,4,1,2020,8,27,11:15,Wasser Schwaden (Glyceria maxima),Glyceria maxima,5,
AT1,4,1,2020,8,27,11:15,Breitblättriger Rohrkolben (Typha latifolia),Typha latifolia,+,
AT1,4,1,2020,8,27,11:15,Landreitgras (Calamagrostis epigejos),Calamagrostis epigejos,R,
DS1,1,1,2020,9,23,14:30,Breitblättriger Rohrkolben (Typha latifolia),Typha latifolia,2,10% Deckung
DS1,1,1,2020,9,23,14:30,Rohr Glanzgras (Phalaris arundinacea),Phalaris arundinacea,2,25% Deckung
DS1,1,1,2020,9,23,14:30,Flatterbinse (Juncus effusus),Juncus effusus,3,50% Deckung
DS1,1,1,2020,9,23,14:30,Wasserminze (Mentha aquatica),Mentha aquatica,2,20% Deckung
DS1,1,1,2020,9,23,14:30,Wolfstrapp (Lycopus),Lycopus,2,10-15%
DS1,1,1,2020,9,23,14:30,Wasserknöterich (Persicaria amphibia),Persicaria amphibia,,
DS1,2,1,2020,9,23,14:30,Schilf (Phragmites australis),Phragmites australis,3,50% Deckung
DS1,2,1,2020,9,23,14:30,Breitblättriger Rohrkolben (Typha latifolia),Typha latifolia,2,15% Deckung
DS1,2,1,2020,9,23,14:30,Flatterbinse (Juncus effusus),Juncus effusus,2,20% Deckung
