Species;Status Germany;Status Belgium;Status Netherlands;In factsheet
Acrocephalus arundinaceus;Early warning list;Critically endangered;Endangered;Bird
Acrocephalus palustris;Not_threatened;Not_threatened;Not_threatened;No
Acrocephalus schoenobaenus;Not_threatened;Endangered;Not_threatened;Bird
Acrocephalus scirpaceus;Not_threatened;Not_threatened;Not_threatened;No
Actitis hypoleucos;Critically endangered;Not taken into account;Sensitive;Bird
Aeshna isoceles;Not_threatened;Threatened with extinction;Vulnerable;Dragonfly
Agrostis stolonifera;Not_threatened;Not_threatened;Not_threatened;No
Alauda arvensis;Endangered;Vulnerable;Sensitive;Bird
Alcedo atthis;Not_threatened;Vulnerable;Not_threatened;No
Alnus glutinosa;Not_threatened;Not_threatened;Not_threatened;No
Alopochen aegyptiaca;Not taken into account;Not_threatened;Not_threatened;No
Anas crecca;Endangered;Not_threatened;Vulnerable;Bird
Anas platyrhynchos;Not_threatened;Not_threatened;Not_threatened;No
Anas querquedula;Critically endangered;Endangered;Endangered;Bird
Anax imperator;Not_threatened;Not_threatened;Not_threatened;No
Anax parthenope;Not_threatened;Not taken into account;Not_threatened;No
Anser anser;Not_threatened;Not_threatened;Not_threatened;No
Anthus pratensis;Critically endangered;Endangered;Sensitive;Bird
Ardea cinerea;Not_threatened;Not_threatened;Not_threatened;No
Aythya ferina;Not_threatened;Not_threatened;Not_threatened;No
Aythya fuligula;Not_threatened;Not_threatened;Not_threatened;No
Bidens frondosa;Not taken into account;Not_threatened;Not_threatened;No
Botaurus stellaris;Endangered;Critically endangered;Vulnerable;Bird
Brachytron pratense;Not_threatened;Vulnerable;Vulnerable;No
Branta canadensis;Not taken into account;Not_threatened;Not_threatened;No
Calamagrostis epigejos;Not_threatened;Not_threatened;Not_threatened;No
Calopteryx splendens;Not_threatened;Not_threatened;Not_threatened;No
Calystegia sepium;Insufficient data;Not_threatened;Not_threatened;No
Carex Pseudocyperus;Not_threatened;Not_threatened;Not_threatened;No
Chlidonias niger;Threatened with extinction;Regionally extinct;Endangered;Bird
Ciconia nigra;Not_threatened;Not_threatened;Not_threatened;No
Circus aeruginosus;Not_threatened;Endangered;Not_threatened;Bird
Coenagrion armatum;Threatened with extinction;Not_threatened;Extinct;Damselfly
Coenagrion hastulatum;Critically endangered;Threatened with extinction;Critically endangered;Damselfly
Coenagrion lunulatum;Threatened with extinction;Endangered;Not_threatened;Damselfly
Coenagrion puella;Not_threatened;Not_threatened;Not_threatened;No
Coenagrion pulchellum;Not_threatened;Endangered;Not_threatened;Damselfly
Coturnix coturnix;Early warning list;Insufficient data;Not_threatened;No
Cuculus canorus;Early warning list;Declining;Vulnerable;No
Cygnus olor;Not_threatened;Not_threatened;Not_threatened;No
Dryopteris filix-mas;Not_threatened;Not_threatened;Not_threatened;No
Emberiza schoeniclus;Not_threatened;Endangered;Not_threatened;Bird
Enallagma cyathigerum;Not_threatened;Not_threatened;Not_threatened;No
Eplilobium angustifolium;Not_threatened;Not_threatened;Not_threatened;No
Erythromma najas;Not_threatened;Not_threatened;Not_threatened;No
Erythromma viridulum;Not_threatened;Not_threatened;Not_threatened;No
Fallopia convolvulus;Not_threatened;Not_threatened;Not_threatened;No
Fulica atra;Not_threatened;Not_threatened;Not_threatened;No
Gallinago gallinago;Threatened with extinction;Critically endangered;Endangered;Bird
Glyceria maxima;Insufficient data;Not_threatened;Not_threatened;No
Grus grus;Not_threatened;Not_threatened;Sensitive;No
Haematopus ostralegus;Not_threatened;Not_threatened;Not_threatened;No
Holcus lanatus;Not_threatened;Not_threatened;Not_threatened;No
Humulus lupulus;Not_threatened;Not_threatened;Not_threatened;No
Iris pseudacorus;Not_threatened;Not_threatened;Not_threatened;No
Ischnura elegans;Not_threatened;Not_threatened;Not_threatened;No
Ixobrychus minutus;Critically endangered;Endangered;Critically endangered;Bird
Juncus effusus;Not_threatened;Not_threatened;Not_threatened;No
Lemna minor;Not_threatened;Not_threatened;Not_threatened;No
Lestes dryas;Endangered;Vulnerable;Not_threatened;Damselfly
Lestes sponsa;Not_threatened;Not_threatened;Not_threatened;No
Lestes viridis;Not_threatened;Not_threatened;Not_threatened;No
Libellula depressa;Not_threatened;Not_threatened;Not_threatened;No
Libellula quadrimaculata;Not_threatened;Not_threatened;Not_threatened;No
Limosa limosa;Threatened with extinction;Vulnerable;Sensitive;Bird
Locustella luscinioides;Not_threatened;Critically endangered;Vulnerable;Bird
Locustella naevia;Endangered;Not_threatened;Not_threatened;Bird
Luscinia svecica;Not_threatened;Not_threatened;Not_threatened;No
Lycopus europaeus;Not_threatened;Not_threatened;Not_threatened;No
Lysmachia vulgaris;Not_threatened;Not_threatened;Not_threatened;No
Mentha aquatica;Not_threatened;Not_threatened;Not_threatened;No
Mentha arvensis;Not_threatened;Not_threatened;Not_threatened;No
Milvus milvus;Early warning list;Not taken into account;Not_threatened;No
Motacilla flava;Not_threatened;Declining;Sensitive;No
Myosotis palustris;Not_threatened;Not_threatened;Not_threatened;No
Numenius arquata;Threatened with extinction;Endangered;Vulnerable;Bird
Nuphar lutea;Not_threatened;Not_threatened;Not_threatened;No
Orthetrum cancellatum;Not_threatened;Not_threatened;Not_threatened;No
Pandion haliaetus;Endangered;Not_threatened;Not_threatened;Bird
Persicaria amphibia;Not_threatened;Not_threatened;Not_threatened;No
Phalacrocorax carbo;Not_threatened;Not_threatened;Not_threatened;No
Phalaris arundinacea;Not_threatened;Not_threatened;Not_threatened;No
Phragmites australis;Not_threatened;Not_threatened;Not_threatened;No
Platycnemis pennipes;Not_threatened;Not_threatened;Not_threatened;No
Poa trivialis;Not_threatened;Not_threatened;Not_threatened;No
Porzana porzana;Endangered;Critically endangered;Vulnerable;Bird
Pyrrhosoma nymphula;Not_threatened;Not_threatened;Not_threatened;No
Rallus aquaticus;Early warning list;Not_threatened;Not_threatened;No
Remiz pendulinus;Not_threatened;Critically endangered;Sensitive;Bird
Rorippa amphibia;Not_threatened;Not_threatened;Not_threatened;No
Rubus fructicosus agg.;Not_threatened;Not_threatened;Not_threatened;No
Schoenoplectus tabernaemontani;Not_threatened;Not_threatened;Not_threatened;No
Scirpus sylvaticus;Not_threatened;Not_threatened;Not_threatened;No
Scutellaria galericulata;Not_threatened;Not_threatened;Not_threatened;No
Silene dioica;Not_threatened;Not_threatened;Not_threatened;No
Solanum dulcamara;Not_threatened;Not_threatened;Not_threatened;No
Spatula clypeata;Not_threatened;Not_threatened;Not_threatened;No
Stachys palustris;Not_threatened;Not_threatened;Not_threatened;No
Sylvia communis;Not_threatened;Not_threatened;Not_threatened;No
Sympetrum sanguineum;Not_threatened;Not_threatened;Not_threatened;No
Sympetrum striolatum;Not_threatened;Not_threatened;Not_threatened;No
Sympetrum vulgatum;Not_threatened;Not_threatened;Not_threatened;No
Tachybaptus ruficollis;Not_threatened;Not_threatened;Not_threatened;No
Tadorna tadorna;Not_threatened;Not_threatened;Not_threatened;No
Tringa ochropus;Not_threatened;Not_threatened;Not_threatened;No
Tringa totanus;Endangered;Vulnerable;Sensitive;Bird
Typha latifolia;Not_threatened;Not_threatened;Not_threatened;No
Urtica dioica;Not_threatened;Not_threatened;Not_threatened;No
Vanellus vanellus;Critically endangered;Endangered;Not_threatened;Bird
Cettia cetti;Not taken into account;Not_threatened;Not_threatened;No
Cordulia aenea;Not_threatened;Not_threatened;Not_threatened;No
Crocothemis erythraea;Not_threatened;Not_threatened;Not_threatened;No
Lestes barbarus;Not_threatened;Not_threatened;Not_threatened;No
Lestes virens;Not_threatened;Not_threatened;Vulnerable;No
Libellula fulva;Not_threatened;Endangered;Vulnerable;Dragonfly
Nymphaea alba;Not_threatened;Not_threatened;Not_threatened;No
Schoenoplectus lacustris;Not_threatened;Not_threatened;Not_threatened;No
Sparganium erectum;Not_threatened;Not_threatened;Not_threatened;No
Typha angustifolia;Not_threatened;Not_threatened;Not_threatened;No
Sympecma fusca;Not_threatened;Not_threatened;Endangered;Damselfly
