Scientific Name,Location,Rank,Category
Orthetrum cancellatum,Lake Dümmer,1,Dragonfly
Anax imperator,Lake Dümmer,2,Dragonfly
Sympetrum,Lake Dümmer,3,Dragonfly
Sympetrum vulgatum,Lake Dümmer,4,Dragonfly
Libellula depressa,Lake Dümmer,5,Dragonfly
Sympetrum,Aschau Teiche,1,Dragonfly
Orthetrum cancellatum,Aschau Teiche,2,Dragonfly
Sympetrum striolatum,Aschau Teiche,3,Dragonfly
Libellula quadrimaculata,Aschau Teiche,4,Dragonfly
Brachytron pratense,Aschau Teiche,5,Dragonfly
Sympetrum sanguineum,Aschau Teiche,6,Dragonfly
Orthetrum cancellatum,Sint-Laureins,1,Dragonfly
Anax parthenope,Sint-Laureins,2,Dragonfly
Anax imperator,Sint-Laureins,3,Dragonfly
Libellula quadrimaculata,Sint-Laureins,4,Dragonfly
Sympetrum sanguineum,Sint-Laureins,5,Dragonfly
Aeshna isoceles,Sint-Laureins,6,Dragonfly
Brachytron pratense,Gelderse Poort,1,Dragonfly
Brachytron pratense,Kreis Kleve,1,Dragonfly
Ischnura elegans,Lake Dümmer,1,Damselfly
Calopteryx splendens,Lake Dümmer,2,Damselfly
Coenagrion puella,Lake Dümmer,3,Damselfly
Platycnemis pennipes,Lake Dümmer,4,Damselfly
Lestes viridis,Lake Dümmer,5,Damselfly
Erythromma viridulum,Lake Dümmer,6,Damselfly
Enallagma cyathigerum,Lake Dümmer,7,Damselfly
Pyrrhosomma nymphula,Lake Dümmer,8,Damselfly
Lestes sponsa,Aschau Teiche,1,Damselfly
Ischnura elegans,Aschau Teiche,2,Damselfly
Coenagrion puella,Aschau Teiche,3,Damselfly
Lestes dryas,Aschau Teiche,4,Damselfly
Coenagrion pulchellum,Aschau Teiche,5,Damselfly
Erythromma viridulum,Aschau Teiche,6,Damselfly
Ischnura elegans,Sint-Laureins,1,Damselfly
Coenagrion pulchellum,Sint-Laureins,2,Damselfly
Coenagrion armatum,Gelderse Poort,1,Damselfly
Coenagrion lunulatum,Gelderse Poort,2,Damselfly
Erythromma viridulum,Gelderse Poort,3,Damselfly
Ischnura elegans,Gelderse Poort,4,Damselfly
Platycnemis pennipes,Gelderse Poort,5,Damselfly
Coenagrion hastulatum,Gelderse Poort,6,Damselfly
Coenagrion puella,Gelderse Poort,7,Damselfly
Coenagrion pulchellum,Gelderse Poort,8,Damselfly
Enallagma cyathigerum,Gelderse Poort,9,Damselfly
Erythromma najas,Gelderse Poort,10,Damselfly
Coenagrion armatum,Kreis Kleve,1,Damselfly
Coenagrion lunulatum,Kreis Kleve,2,Damselfly
Erythromma viridulum,Kreis Kleve,3,Damselfly
Ischnura elegans,Kreis Kleve,4,Damselfly
Platycnemis pennipes,Kreis Kleve,5,Damselfly
Coenagrion hastulatum,Kreis Kleve,6,Damselfly
Coenagrion puella,Kreis Kleve,7,Damselfly
Coenagrion pulchellum,Kreis Kleve,8,Damselfly
Enallagma cyathigerum,Kreis Kleve,9,Damselfly
Erythromma najas,Kreis Kleve,10,Damselfly
Vanellus vanellus,Lake Dümmer,1,Bird
Alauda arvensis,Lake Dümmer,2,Bird
Motacilla flava,Lake Dümmer,3,Bird
Numenius arquata,Lake Dümmer,4,Bird
Schoeniclus schoeniclus,Lake Dümmer,5,Bird
Anser anser,Lake Dümmer,6,Bird
Gallinago gallinago,Lake Dümmer,7,Bird
Spatula clypeataI,Lake Dümmer,8,Bird
Cuculus canorus,Lake Dümmer,9,Bird
Fulica atra,Lake Dümmer,10,Bird
Anas platyrhynchos,Lake Dümmer,11,Bird
Acrocephalus schoenobaenus,Lake Dümmer,12,Bird
Limosa limosa,Lake Dümmer,13,Bird
Anthus pratensis,Lake Dümmer,15,Bird
Sylvia communis,Lake Dümmer,16,Bird
Locustella naevia,Lake Dümmer,17,Bird
Porzana porzana,Lake Dümmer,18,Bird
Tringa totanus,Lake Dümmer,19,Bird
Anas querquedula,Lake Dümmer,20,Bird
Acrocephalus scirpaceus,Lake Dümmer,21,Bird
Coturnix coturnix,Lake Dümmer,22,Bird
Alopochen aegyptiaca,Lake Dümmer,23,Bird
Luscinia svecica,Lake Dümmer,24,Bird
Tadorna tadorna,Lake Dümmer,25,Bird
Alcedo atthis,Lake Dümmer,26,Bird
