Observer,Date,Location,ID,PQ #,Time,Species,Category,Coverage (%),Notes
Jeroen Gruijters & Harmen Verboom,29/8/2022,Aerdt,"43.7873898000, 29.6634384000",1,11:45,Reed,2,<5 | 5-25%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Aerdt,"50.4162378000, 05.3910786000",2,12:00,Reed,4,50-75%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Aerdt,"7.1052336, 39.8419320000",3,12:15,Reed,2,<5 | 5-25%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Aerdt,"7.1052336, 39.8419320000",3,12:15,Reed grass,1,5%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Aerdt,"2.8255782, 33.1519770000",4,12:45,Reed,1,5%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Aerdt,"2.8255782, 33.1519770000",4,12:45,Reed grass,2,<5 | 5-25%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Aerdt,"2.8255782, 33.1519770000",4,12:45,Bulrush,R,<5%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Aerdt,"2.8255782, 33.1519770000",4,12:45,Lesser bulrush,2,<5 | 5-25%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Gemaal,"0.5436978, 30.6601506000",2,13:30,Lesser bulrush,4,50-75%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Gemaal,"0.5436978, 30.6601506000",2,13:30,Branched burreed,R,<5%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Gemaal,"58.0468902, 42.4794150000",3,13:40,Reed,R,<5%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Gemaal,"58.0468902, 42.4794150000",3,13:40,Reed Grass,R,<5%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Gemaal,"53.6715894, 53.8413144000",4,14:00,Reed,4,50-75%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Gemaal,"53.6715894, 53.8413144000",4,14:00,Reed Grass,1,5%,
Jeroen Gruijters & Harmen Verboom,29/8/2022,Gemaal,"53.6715894, 53.8413144000",4,14:00,Lesser bulrush,1,5%,
